bus,vm_pu,va_degree,p_mw,q_mvar
1,1.074186,-0.007371,-4.553489,-0.671779
2,1.038576,-0.099029,-37.065878,1.617618
3,1.063629,0.009984,-50.786909,6.097025
4,1.084561,-0.027102,-76.979184,-9.998170
5,1.083984,-0.018970,11.585132,1.364199
7,1.068168,0.030357,68.034028,20.174059
8,1.087643,-0.010111,86.320614,-93.682793
9,1.063709,0.022173,-16.298573,-44.711225
10,1.066470,0.023045,47.357302,-36.009002
11,1.057079,0.007023,309.613420,-54.524400
12,1.104827,-0.034617,-224.946146,26.259668
13,1.059908,0.000981,35.392531,54.853572
14,1.106635,-0.010448,-0.213566,43.721838
15,1.085115,-0.015532,35.870165,7.117721
16,1.063595,0.013564,-29.233053,0.905972
17,1.065868,0.013728,-11.444661,1.131574
18,1.086761,-0.019308,21.631697,2.644291
19,1.076192,-0.003730,14.610507,-0.036438
20,1.041174,-0.041444,-7.255119,0.143104
21,1.047078,-0.016397,-2.238125,0.539309
26,1.080875,-0.027177,-37.061992,-3.965001
29,1.069959,0.006034,10.160334,0.036077
30,1.036391,-0.099056,-21.121413,1.723756
34,1.069032,0.018680,79.775517,-8.092976
35,1.070777,0.014584,-9.111038,-2.498996
36,1.075631,0.013732,38.505465,3.506283
42,1.085618,-0.041471,-24.039874,-0.141192
55,1.077250,-0.021422,-7.801363,0.720432
68,1.083287,-0.018698,-3.761924,-0.259217
72,1.097699,-0.039174,-131.923263,36.244676
103,1.086672,-0.029504,-59.419868,15.862619
