bus,vm_pu,va_degree,p_mw,q_mvar
1,1.027010,-0.070332,-4.633050,-2.907238
2,0.991401,-0.197286,-46.646523,2.659935
3,1.023720,-0.057918,-49.054966,-1.778992
4,1.050623,-0.050375,-152.786742,-30.285336
5,1.035115,-0.066162,10.074235,-0.811153
7,1.035226,-0.037289,38.452683,16.052332
8,1.061013,0.010109,188.382564,-91.284184
9,1.032499,-0.039844,42.062219,-14.657608
10,1.044316,-0.028664,18.018424,-12.632788
11,1.034930,0.002012,437.533744,37.894666
12,1.067090,-0.076035,-511.098958,-20.729765
13,1.037800,-0.000055,142.364198,96.880345
14,1.083358,0.006298,48.294185,64.111036
15,1.055339,-0.037577,-9.146049,5.233327
16,1.023441,-0.057163,-48.938119,-5.782956
17,1.024447,-0.057935,-18.038399,1.011716
18,1.055059,-0.041819,21.566776,1.545869
19,1.024278,-0.079003,0.070529,-0.017675
20,0.994245,-0.114707,-6.375058,0.199613
21,1.000107,-0.117200,-6.354563,1.400857
26,1.046227,-0.056529,-52.236428,-5.676687
29,1.024020,-0.064635,4.498933,-0.052129
30,0.980042,-0.196522,-24.312447,0.114934
34,1.024859,-0.052055,51.260121,-12.068391
35,1.027003,-0.051416,-29.998588,-3.547953
36,1.034201,-0.043049,79.441050,7.383512
42,1.047900,-0.062601,-15.373051,0.134021
55,1.033992,-0.068733,-9.826644,-1.227618
68,1.034157,-0.067126,-10.406344,-2.633792
72,1.064819,-0.045762,-53.503800,-4.452587
103,1.052299,-0.050191,-27.892330,-6.851894
