bus,vm_pu,va_degree,p_mw,q_mvar
1,1.037170,0.114571,-0.823783,-52.772073
2,1.038530,0.215871,-0.858512,-39.022628
3,1.043276,0.136594,-0.813962,-37.933849
4,1.038346,-0.056208,-0.880342,-52.452420
5,1.022233,0.156259,-40.484362,-17.272312
6,1.022875,0.162253,-0.784302,-7.699177
7,1.043522,-0.068949,-0.803610,69.765060
8,1.011734,0.033988,-0.820337,-0.037154
9,1.029863,-0.077211,-0.812293,-0.036172
10,1.038634,-0.081054,-0.758177,-0.045619
11,1.021260,-0.092103,-4.777459,-0.117048
12,1.013003,-0.094898,-0.785522,0.012487
13,1.026648,-0.083517,-7.959253,-1.524934
14,1.029946,-0.075162,-0.763842,-0.033339
15,1.044218,-0.057358,-0.801353,-0.008488
16,1.010394,0.157849,-0.817383,-0.043517
17,1.026489,0.082187,-0.849804,0.051851
18,1.015363,0.031847,-0.825631,-0.055178
19,1.011092,-0.131002,-0.836177,0.011487
20,1.020579,-0.092866,-0.770647,0.061647
21,1.023680,0.079590,-0.854407,-0.098872
22,1.026754,-0.062399,96.251312,-49.749975
23,1.005473,-0.113392,-0.790237,-0.027294
24,1.025491,0.166547,-0.839517,0.029123
25,1.018314,0.053129,-0.776918,-0.033482
26,1.041776,-0.071206,-4.772069,-0.269310
27,1.037154,-0.070247,-4.754830,-0.060253
28,1.032027,-0.069221,-3.623353,0.406513
29,1.024161,-0.074080,-0.816033,-0.107204
30,1.032417,0.084393,30.181616,6.230414
31,1.020873,0.184733,-0.815328,0.050449
32,1.028224,0.078603,-0.844497,-0.049829
33,1.034025,0.086567,-0.796644,0.031963
34,1.021832,-0.078003,-0.808648,-0.083787
35,1.003017,0.105454,-0.811674,0.017852
36,1.016840,0.033518,-0.808818,0.025785
37,1.020408,-0.050716,-0.700491,0.055671
38,1.021420,0.090507,-0.831139,0.010020
39,1.021847,0.088381,-0.795476,-0.061449
40,1.025917,0.162411,-0.784580,0.078758
41,1.021872,0.082774,-0.789734,-0.032259
42,1.020063,0.139898,-0.855216,0.025566
43,1.020015,-0.057204,-0.760000,-0.018234
44,1.020361,0.090204,-0.831319,-0.000725
45,1.021583,0.008009,-0.890255,-0.002801
46,1.019811,-0.021159,-0.746353,-0.064249
47,1.024653,0.133978,-0.805912,0.085222
48,1.018629,0.083899,-0.787391,0.001397
49,1.023715,0.096060,-0.782965,0.006717
50,1.021902,-0.049657,-40.461221,-0.063243
51,1.025318,0.146950,-0.880045,0.043909
52,1.022593,0.045826,-0.851770,0.036738
53,1.020470,0.078678,-0.761086,0.065261
54,1.028161,0.285095,-0.720965,-0.069381
55,1.018407,-0.059290,-0.813396,-0.007222
56,1.021329,-0.059743,-0.721752,-0.079141
