bus,vm_pu,va_degree,p_mw,q_mvar
1,1.045826,0.087840,0.082256,-46.660241
2,1.046195,0.204994,-0.040681,-59.542196
3,1.042782,0.165965,0.004530,-22.636160
4,1.038148,-0.003393,0.068704,-55.164682
5,1.032928,0.171209,-33.729871,-3.666217
6,1.033566,0.177725,0.067989,-5.068010
7,1.037912,-0.020114,0.048633,32.399318
8,1.005678,0.008691,0.083068,-0.010354
9,1.029508,-0.077752,0.050075,0.000331
10,1.039666,-0.038974,0.110693,-0.096134
11,1.021331,-0.096380,-1.191946,0.140365
12,1.021681,-0.046601,-0.021071,0.026070
13,1.025431,-0.095853,-4.931498,-1.551709
14,1.029390,-0.075952,0.064539,0.025111
15,1.042967,-0.011900,0.041366,0.031444
16,1.024316,0.175444,0.073407,0.015937
17,1.031064,0.045961,0.057662,-0.073078
18,1.019232,0.002106,0.006059,0.014479
19,1.015898,-0.134058,0.051231,0.045609
20,1.017542,-0.114988,0.079114,-0.036230
21,1.025380,0.033591,-0.026321,0.002863
22,1.031878,-0.020394,100.557997,-20.714994
23,1.014390,-0.065905,0.010404,-0.041275
24,1.023319,0.201313,0.063518,-0.016465
25,1.022114,0.020156,-33.750817,0.033735
26,1.041334,-0.027889,-4.230992,-0.567741
27,1.036337,-0.047979,0.093437,0.373698
28,1.034740,-0.021580,-0.199106,0.292879
29,1.028929,-0.026092,0.053211,-0.052849
30,1.039094,0.056844,30.991577,26.378518
31,1.018423,0.225945,0.098894,0.047997
32,1.033665,0.054301,0.116473,0.055298
33,1.040440,0.061709,0.013748,-0.012955
34,1.026707,-0.029841,0.078510,-0.027249
35,1.007659,0.114792,-0.005523,0.015612
36,1.014948,0.010622,0.073212,-0.015074
37,1.023725,-0.067509,0.052599,-0.000621
38,1.025738,0.067465,0.018760,-0.041677
39,1.025085,0.090283,0.097698,-0.030612
40,1.033912,0.177499,0.049164,-0.034672
41,1.024717,0.056043,0.088823,0.007860
42,1.025156,0.163775,0.034469,0.026393
43,1.024161,-0.077639,0.079623,0.001867
44,1.027381,0.076746,0.074946,0.017643
45,1.024951,-0.002116,-0.013615,-0.070968
46,1.022686,-0.036785,-0.015831,0.057852
47,1.030539,0.152683,0.079768,-0.001881
48,1.022073,0.061812,0.054054,-0.100462
49,1.027685,0.067007,-0.037042,0.003977
50,1.024955,-0.065223,-33.786935,-0.057734
51,1.032873,0.141621,0.026898,0.017751
52,1.026430,0.048915,0.040502,-0.046275
53,1.024438,0.051387,0.037371,0.097799
54,1.043984,0.269555,0.029625,-0.052631
55,1.024073,-0.079827,0.042601,-0.069097
56,1.024205,-0.082306,0.007935,-0.008227
57,1.027930,0.075229,0.000099,-0.036840
58,1.023215,-0.080869,0.091013,0.055953
59,1.024250,-0.069173,0.045474,-0.063904
60,1.030666,0.094883,0.095225,-0.002972
61,1.031595,0.154648,90.017851,15.992008
62,1.021498,0.233505,0.066029,-0.007165
63,1.042501,0.243128,0.006751,0.106780
64,1.018017,-0.028555,0.073396,-0.001784
65,1.029433,0.200403,0.073476,-0.090189
66,1.031259,0.107940,-0.018330,-0.098775
67,1.028897,0.093272,-1.487943,0.089856
68,1.024026,0.053043,0.027920,0.023197
69,1.026363,0.079403,0.029470,-0.010261
70,1.029314,0.109944,-0.027667,-0.070788
71,1.023973,0.089090,0.086847,0.000650
72,1.015910,0.228762,0.088082,0.043676
73,1.033430,0.230540,0.103685,0.035272
74,1.023628,-0.025782,0.017293,-0.020521
75,1.030493,0.214294,-0.044848,0.035901
76,1.022716,-0.081528,0.041897,0.050933
77,1.036190,0.240703,0.096708,0.020037
78,1.022325,0.136944,-0.038352,0.012449
79,1.032148,0.216421,-0.064909,0.083267
80,1.043686,-0.004435,0.082423,-0.032218
81,1.040014,0.067310,0.062455,-0.074487
