bus,vm_pu,va_degree,p_mw,q_mvar
1,1.049607,0.829766,613.335172,-83.833688
2,1.023147,0.778181,371.235098,-22.456127
3,1.050263,0.744025,1120.105735,156.471071
4,1.049415,0.515760,1664.923980,349.688098
5,1.049868,0.445245,-156.517205,-527.332323
6,1.048839,0.416629,869.469871,-66.009271
7,1.051067,0.381184,1063.127259,-966.775261
8,1.043427,0.380974,-951.849920,-35.277542
9,1.050377,0.330076,775.465344,-50.171152
10,1.050693,0.201371,300.679662,983.717730
11,1.050633,0.180000,3410.025649,-292.693264
12,1.050975,0.144092,3040.239145,-968.541176
13,1.049533,0.084678,-2394.135457,-724.958631
14,1.049578,0.078289,-834.287230,-536.094836
15,1.049921,0.087552,-1313.708249,-1063.414886
16,1.050777,0.067228,2581.110879,3542.301710
17,1.048245,-0.002400,-549.057658,-756.282296
18,1.048470,-0.002172,-4933.636640,-906.848730
19,1.050470,0.022102,1136.148073,-2240.488176
20,1.049880,-0.002972,-190.846345,-543.208714
21,1.048929,-0.019663,-203.716398,-497.204960
22,1.048778,-0.033368,-1521.124309,-861.916827
23,1.049709,-0.028993,1659.254626,1927.223927
24,1.045862,-0.037878,-1347.481552,-499.680025
25,1.046757,-0.078971,-7903.697700,-2515.475464
26,1.049919,0.004105,3891.515322,1708.587095
27,1.049078,-0.000319,859.988432,587.565856
28,1.047032,-0.032754,-1277.413714,-334.314986
29,1.049797,-0.015535,626.692928,362.562414
30,1.048409,0.825808,-5.470091,0.058505
