bus,vm_pu,va_degree,p_mw,q_mvar
1,1.042502,0.030466,-417.475597,-69.612383
2,1.049463,0.090314,46.639809,-440.372656
3,1.050323,0.275396,1218.000338,167.381061
4,1.050350,0.168335,1193.962735,611.788658
5,1.050084,0.115061,-417.252312,37.405120
6,1.048831,0.111565,-556.754935,147.845915
7,1.048358,0.136715,781.048889,-980.808003
8,1.045612,0.136247,-1458.646619,-38.648822
9,1.047996,0.108727,-559.009649,-54.801231
10,1.049328,0.153968,-140.585922,131.481387
11,1.050593,0.121519,1792.214669,-1357.621949
12,1.049919,0.121715,2516.962591,1650.535183
13,1.048862,0.074369,-3605.382662,-792.049657
14,1.048316,0.144598,-2317.893113,-585.759944
15,1.049643,0.176724,4650.373226,-45.683406
16,1.049825,0.182257,10142.345317,2507.590688
17,1.049551,0.040861,456.957116,430.252582
18,1.046322,0.024960,-4352.351145,-1076.079636
19,1.050206,0.065019,739.468727,828.686832
20,1.049642,0.019633,73.053336,-598.609036
21,1.049814,0.010663,-485.534999,116.791898
22,1.048910,-0.008819,-2476.290880,-498.228548
23,1.049866,-0.012362,2365.591131,-361.120848
24,1.044461,-0.024519,-1890.842262,-545.957548
25,1.047010,-0.065760,-8837.975675,-2051.578680
26,1.049161,0.017406,3711.341728,1956.442319
27,1.049244,-0.000105,400.786147,592.826801
28,1.045594,-0.038172,-1741.322450,-151.423174
29,1.047123,-0.030217,-18.481889,236.492924
30,0.971587,-0.352808,-424.582143,0.004499
